date,value
2014-05-01,460.61
2014-05-02,457.93
2014-05-03,449.4
2014-05-04,439.77
2014-05-05,440.97
2014-05-06,448.04
2014-05-07,446.13
2014-05-08,448.4
2014-05-09,452.69
2014-05-10,455.77
2014-05-11,455.34
2014-05-12,442.26
2014-05-13,441.98
2014-05-14,446.66
2014-05-15,449.8
2014-05-16,450.66
2014-05-17,451.98
2014-05-18,449.77
2014-05-19,447.56
2014-05-20,491.44
2014-05-21,494.37
2014-05-22,525.36
2014-05-23,541.96
2014-05-24,525.17
2014-05-25,576.48
2014-05-26,588.39
2014-05-27,589.52
2014-05-28,578.62
2014-05-29,577.1
2014-05-30,618.46
2014-05-31,624.72
2014-06-01,671.51
2014-06-02,665.5
2014-06-03,674.11
2014-06-04,668.56
2014-06-05,663.53
2014-06-06,661.37
2014-06-07,656.94
2014-06-08,658.88
2014-06-09,657.7
2014-06-10,659.62
2014-06-11,657.04
2014-06-12,638.11
2014-06-13,615.14
2014-06-14,601.27
2014-06-15,592.94
2014-06-16,608.72
2014-06-17,610.89
2014-06-18,615.88
2014-06-19,612.24
2014-06-20,599.75
2014-06-21
2014-06-22
2014-06-23
2014-06-24
2014-06-25
2014-06-26
2014-06-27,600.12
2014-06-28,604.47
2014-06-29,604.08
2014-06-30,645.15
2014-07-01,657.86
2014-07-02,656.68
2014-07-03,650.77
2014-07-04,648.43
2014-07-05,633.22
2014-07-06,638.65
2014-07-07,637.16
2014-07-08,626.7
2014-07-09,627
2014-07-10,626.12
2014-07-11,632.09
2014-07-12,636.66
2014-07-13,634.73
2014-07-14,627.34
2014-07-15,625.14
2014-07-16,623.09
2014-07-17,626.29
2014-07-18,629.21
2014-07-19,629.17
2014-07-20,628.56
2014-07-21,624.09